iter	Passed	Remaining
413	2138	3026
414	2141	3019
415	2145	3012
416	2148	3003
417	2151	2995
418	2157	2992
419	2161	2985
420	2164	2976
421	2166	2967
422	2171	2962
423	2175	2954
424	2178	2946
425	2181	2938
426	2185	2932
427	2189	2926
428	2193	2919
429	2196	2911
430	2201	2906
431	2205	2899
432	2208	2891
433	2211	2883
434	2216	2878
435	2219	2871
436	2222	2863
437	2225	2855
438	2232	2852
439	2235	2845
440	2238	2837
441	2241	2829
442	2246	2824
443	2249	2817
444	2252	2809
445	2255	2801
446	2258	2793
447	2264	2789
448	2267	2782
449	2270	2774
450	2274	2769
451	2278	2762
452	2281	2755
453	2284	2747
454	2292	2745
455	2296	2739
456	2298	2731
457	2301	2724
458	2308	2720
459	2311	2713
460	2314	2706
461	2317	2699
462	2323	2694
463	2326	2687
464	2329	2680
465	2335	2676
466	2338	2668
467	2341	2661
468	2344	2654
469	2349	2649
470	2352	2641
471	2355	2634
472	2357	2626
473	2359	2618
474	2364	2613
475	2366	2605
476	2369	2597
477	2371	2590
478	2374	2582
479	2379	2577
480	2382	2570
481	2385	2563
482	2388	2556
483	2393	2551
484	2397	2545
485	2400	2539
486	2404	2532
487	2409	2528
488	2412	2521
489	2415	2513
490	2418	2506
491	2423	2502
492	2426	2495
493	2429	2488
494	2432	2481
495	2434	2473
496	2440	2470
497	2443	2463
498	2446	2455
499	2449	2449
500	2454	2444
501	2457	2438
502	2460	2431
503	2463	2424
504	2468	2419
505	2471	2412
506	2474	2405
507	2477	2399
508	2479	2391
509	2487	2389
510	2490	2383
511	2493	2376
512	2498	2372
513	2502	2365
514	2505	2359
515	2508	2353
516	2513	2348
517	2517	2342
518	2520	2335
519	2523	2329
520	2530	2326
521	2533	2319
522	2536	2313
523	2539	2306
524	2543	2301
525	2546	2294
526	2549	2288
527	2551	2281
528	2555	2275
529	2560	2270
530	2563	2263
531	2566	2257
532	2569	2251
533	2573	2245
534	2576	2239
535	2579	2233
536	2583	2227
537	2587	2221
538	2590	2215
539	2593	2209
540	2597	2203
541	2602	2198
542	2606	2193
543	2609	2187
544	2612	2181
545	2615	2174
546	2621	2170
547	2624	2164
548	2627	2158
549	2633	2154
550	2636	2148
551	2639	2141
552	2641	2135
553	2644	2128
554	2647	2123
555	2651	2117
556	2654	2110
557	2656	2104
558	2659	2098
559	2663	2093
560	2666	2086
561	2669	2080
562	2672	2074
563	2677	2069
564	2680	2063
565	2683	2057
566	2686	2051
567	2691	2046
568	2694	2040
569	2697	2034
570	2699	2027
571	2702	2021
572	2705	2016
573	2709	2011
574	2713	2005
575	2716	1999
576	2720	1994
577	2724	1989
578	2727	1983
579	2730	1977
580	2734	1971
581	2742	1969
582	2745	1963
583	2749	1958
584	2754	1954
585	2757	1948
586	2760	1942
587	2767	1939
588	2770	1933
589	2773	1927
590	2775	1921
591	2780	1916
592	2783	1910
593	2786	1904
594	2789	1898
595	2792	1892
596	2797	1888
597	2800	1882
598	2803	1876
599	2806	1870
600	2812	1867
601	2816	1862
602	2819	1856
603	2822	1850
604	2829	1847
605	2832	1841
606	2835	1835
607	2840	1831
608	2844	1826
609	2846	1820
610	2849	1814
611	2853	1808
612	2858	1804
613	2861	1798
614	2864	1793
615	2867	1787
616	2873	1783
617	2876	1778
618	2880	1772
619	2883	1767
620	2888	1762
621	2891	1757
622	2894	1751
623	2897	1746
624	2903	1742
625	2906	1736
626	2909	1731
627	2912	1725
628	2919	1721
629	2922	1716
630	2925	1710
631	2928	1705
632	2934	1701
633	2937	1695
634	2940	1690
635	2944	1685
636	2949	1680
637	2952	1675
638	2955	1669
639	2960	1665
640	2964	1660
641	2967	1654
642	2970	1649
643	2975	1644
644	2978	1639
645	2981	1633
646	2984	1628
647	2986	1622
648	2990	1617
649	2993	1611
650	2996	1606
651	2999	1600
652	3002	1595
653	3009	1592
654	3012	1586
655	3015	1581
656	3018	1575
657	3023	1571
658	3026	1565
659	3031	1561
660	3036	1557
661	3039	1551
662	3042	1546
663	3046	1541
664	3050	1536
665	3054	1531
666	3057	1526
